ean,codigo_interno_coope
7790070036179,714935
7790070036032,713426
7790360967794,707594
7790360967824,707432
7790360026590,706050
7790670050728,250092
7790670050667,250099
7790670050612,250095
7790360026606,252663
7790670052371,714711
7790360967701,706994
7790670050674,250093
7790670050780,253706
7790360966841,928496
7790360026682,713099
7790670052289,713339
7790360967404,706462
7790670052265,712776
7790670050605,250098
7790070036261,710724
7790670051312,710321
7790670051329,710319
7790070035950,713315
7792180142122,714863
7790670051336,710320
7790070034410,713419
7790360967558,706581
7790070036148,713319
7891515547059,710745
7891515571351,712158
7790360971135,709637
7790079019692,225572
7790079020773,705661
7797906054819,714421
7797906054864,714422
7790070036278,233708
7790070036292,233702
7790070036308,233701
7797906000700,703502
7891515547066,710607
7797906054857,715177
7790070036384,752738
7797906054833,714420
7790070036391,153828
7790079021459,706991
7790272001029,106844
7790070012050,874906
7790070036414,707529
7792180001665,920550
7792180001641,100006
7790272001005,102114
7790070231420,323122
7790272000794,227075
7790070265142,298951
7790060234868,112752
7798080520077,135571
7790070231833,285026
7790199603757,284737
7798080521685,272476
7798080521760,269124
7798080520534,280587
7798080521678,272478
7790199603054,279596
7798080521692,272480
7792070054351,294818
7792070001133,152236
7790199603030,279594
7798080521739,269118
7790139000448,274473
7790139003418,437996
7790139101466,290582
7790139101640,296275
7790139004941,288825
7790150564844,288895
7790139101763,296274
7790150570180,286088
7790150435380,287747
7792900000251,180849
7790150411391,287901
7790150497081,286615
7794000006140,290478
7790150420331,287902
7790150532706,286784
7790150470350,286607
7790150480243,286609
7790150440360,287760
7794000006119,290480
7790150406953,286604
7790150465479,294501
7790150545287,287900
7790150490471,286611
7790150540336,286086
7790150532607,286783
7790150570371,286089
7790150532508,286782
7790580135737,292295
7790150532300,286780
7790150436080,287904
7790150573280,287759
7790150531181,290295
7790150535394,288893
7790598000140,108618
7790598000010,154369
7790598091742,190906
7790150497272,286616
7790598015090,126551
7790580136734,292292
7790598000133,108596
7790598091162,226286
7793360124945,278336
7790598000331,114243
7790598010064,107158
7790598000430,148113
7790598010217,130753
7790598012136,130761
7790598021701,187844
7791866001364,851019
7791866001203,136239
7798146138178,275049
7791866003283,101663
7794000006072,289525
7891132001705,316960
7794000006058,289526
7791620187662,312596
7794000006553,293230
7790580135454,290441
7792180142009,310233
7798146138857,294358
7790580135430,290439
7791866004211,199120
7791620187686,312597
7794000004917,285901
7790150432440,286961
7794000004887,285896
7792900990699,322564
7790150437803,285508
7794000004931,285903
7790150433430,285514
