"id","idProducto","idSupermercado","precio","actualizacion"
"779279800738702","7792798007387","02","4326.0","2026-05-27T16:51:57.883278+00:00"
"779089565083302","7790895650833","02","2500.0","2026-05-27T16:51:57.883278+00:00"
"750106419884702","7501064198847","02","4050.0","2026-05-27T16:51:57.883278+00:00"
"779314700919902","7793147009199","02","3700.0","2026-05-27T16:51:57.883278+00:00"
"779120020083502","7791200200835","02","12600.0","2026-05-27T16:51:57.883278+00:00"
"779181382846402","7791813828464","02","4400.0","2026-05-27T16:51:57.883278+00:00"
"762220170314102","7622201703141","02","504.0","2026-05-27T16:51:57.883278+00:00"
"779279801401902","7792798014019","02","2850.0","2026-05-27T16:51:57.883278+00:00"
"779314757128302","7793147571283","02","5501.0","2026-05-27T16:51:57.883278+00:00"
"779314700089902","7793147000899","02","6300.0","2026-05-27T16:51:57.883278+00:00"
"779089506757002","7790895067570","02","5650.0","2026-05-27T16:51:57.883278+00:00"
"779089500099702","7790895000997","02","5650.0","2026-05-27T16:51:57.883278+00:00"
"779314757060602","7793147570606","02","3499.0","2026-05-27T16:51:57.883278+00:00"
"779089500100002","7790895001000","02","5650.0","2026-05-27T16:51:57.883278+00:00"
"779279801367802","7792798013678","02","4450.0","2026-05-27T16:51:57.883278+00:00"
"779574208454002","7795742084540","02","1400.0","2026-05-27T16:51:57.883278+00:00"
"779029010160202","7790290101602","02","17200.0","2026-05-27T16:51:57.883278+00:00"
"779279801483502","7792798014835","02","3400.0","2026-05-27T16:51:57.883278+00:00"
"779279801057802","7792798010578","02","3850.0","2026-05-27T16:51:57.883278+00:00"
"779184300830002","7791843008300","02","3605.0","2026-05-27T16:51:57.883278+00:00"
"779279801347002","7792798013470","02","3200.0","2026-05-27T16:51:57.883278+00:00"
"779915500013502","7799155000135","02","5100.0","2026-05-27T16:51:57.883278+00:00"
"780791003771202","7807910037712","02","2190.0","2026-05-27T16:51:57.883278+00:00"
"762220173534002","7622201735340","02","499.0","2026-05-27T16:51:57.883278+00:00"
"779279801056102","7792798010561","02","6450.0","2026-05-27T16:51:57.883278+00:00"
"779279801506102","7792798015061","02","3750.0","2026-05-27T16:51:57.883278+00:00"
"779031406382402","7790314063824","02","2651.0","2026-05-27T16:51:57.883278+00:00"
"779279801399902","7792798013999","02","3600.0","2026-05-27T16:51:57.883278+00:00"
"779063900241602","7790639002416","02","1202.0","2026-05-27T16:51:57.883278+00:00"
"779279801487302","7792798014873","02","3500.0","2026-05-27T16:51:57.883278+00:00"
"779915500019702","7799155000197","02","3050.0","2026-05-27T16:51:57.883278+00:00"
"762220170308002","7622201703080","02","504.0","2026-05-27T16:51:57.883278+00:00"
"779205206601302","7792052066013","02","1900.0","2026-05-27T16:51:57.883278+00:00"
"779089500023202","7790895000232","02","2500.0","2026-05-27T16:51:57.883278+00:00"
"779279800749302","7792798007493","02","4550.0","2026-05-27T16:51:57.883278+00:00"
"779279800371602","7792798003716","02","6550.0","2026-05-27T16:51:57.883278+00:00"
"779314700105602","7793147001056","02","4750.0","2026-05-27T16:51:57.883278+00:00"
"779314757372002","7793147573720","02","4800.0","2026-05-27T16:51:57.883278+00:00"
"779205218106802","7792052181068","02","1400.0","2026-05-27T16:51:57.883278+00:00"
"779279800911402","7792798009114","02","11250.0","2026-05-27T16:51:57.883278+00:00"
"779314700913702","7793147009137","02","3900.0","2026-05-27T16:51:57.883278+00:00"
"779835319465302","7798353194653","02","6625.0","2026-05-27T16:51:57.883278+00:00"
"779167002761102","7791670027611","02","6800.0","2026-05-27T16:51:57.883278+00:00"
"762220170317202","7622201703172","02","504.0","2026-05-27T16:51:57.883278+00:00"
"779842262004502","7798422620045","02","3300.0","2026-05-27T16:51:57.883278+00:00"
"779279801059202","7792798010592","02","22800.0","2026-05-27T16:51:57.883278+00:00"
"779181333305002","7791813333050","02","2600.0","2026-05-27T16:51:57.883278+00:00"
"779089500329502","7790895003295","02","3392.0","2026-05-27T16:51:57.883278+00:00"
"779314757186302","7793147571863","02","22200.0","2026-05-27T16:51:57.883278+00:00"
"779314757409302","7793147574093","02","2900.0","2026-05-27T16:51:57.883278+00:00"
"779279801353102","7792798013531","02","15800.0","2026-05-27T16:51:57.883278+00:00"
"762220173568502","7622201735685","02","499.0","2026-05-27T16:51:57.883278+00:00"
"762220170599202","7622201705992","02","499.0","2026-05-27T16:51:57.883278+00:00"
"784005000973702","7840050009737","02","2900.0","2026-05-27T16:51:57.883278+00:00"
"779915500033302","7799155000333","02","3400.0","2026-05-27T16:51:57.883278+00:00"
"762220173383402","7622201733834","02","504.0","2026-05-27T16:51:57.883278+00:00"
"779314757168902","7793147571689","02","2900.0","2026-05-27T16:51:57.883278+00:00"
"779181382841902","7791813828419","02","3950.0","2026-05-27T16:51:57.883278+00:00"
"779089500328802","7790895003288","02","3392.0","2026-05-27T16:51:57.883278+00:00"
"779024004210802","7790240042108","02","7437.0","2026-05-27T16:51:57.883278+00:00"
"779314711884602","7793147118846","02","16950.0","2026-05-27T16:51:57.883278+00:00"
"779089564002502","7790895640025","02","2000.0","2026-05-27T16:51:57.883278+00:00"
"762220170265602","7622201702656","02","504.0","2026-05-27T16:51:57.883278+00:00"
"779915500046302","7799155000463","02","3400.0","2026-05-27T16:51:57.883278+00:00"
