"id","idProducto","idSupermercado","precio","actualizacion"
"779181388841304","7791813888413","04","2599.0","2026-05-27T16:51:57.894931+00:00"
"779027200102901","7790272001029","01","6639.0","2026-05-27T16:51:57.888535+00:00"
"762221074562001","7622210745620","01","2590.0","2026-05-27T16:51:57.888535+00:00"
"779400000607201","7794000006072","01","1990.0","2026-05-27T16:51:57.888535+00:00"
"779007033636101","7790070336361","01","1499.0","2026-05-27T16:51:57.888535+00:00"
"779007043311401","7790070433114","01","1389.0","2026-05-27T16:51:57.888535+00:00"
"779041100151401","7790411001514","01","4350.0","2026-05-27T16:51:57.888535+00:00"
"844529112184301","8445291121843","01","2690.0","2026-05-27T16:51:57.888535+00:00"
"779218000166501","7792180001665","01","6290.0","2026-05-27T16:51:57.888535+00:00"
"779058010501301","7790580105013","01","6742.5","2026-05-27T16:51:57.888535+00:00"
"779031098444401","7790310984444","01","4900.0","2026-05-27T16:51:57.888535+00:00"
"779370400092801","7793704000928","01","3790.0","2026-05-27T16:51:57.888535+00:00"
"779019900002001","7790199000020","01","1329.0","2026-05-27T16:51:57.888535+00:00"
"779004014408801","7790040144088","01","1500.0","2026-05-27T16:51:57.888535+00:00"
"779038701461701","7790387014617","01","5490.0","2026-05-27T16:51:57.888535+00:00"
"779400000605801","7794000006058","01","5690.0","2026-05-27T16:51:57.888535+00:00"
"779007200101401","7790072001014","01","1098.75","2026-05-27T16:51:57.888535+00:00"
"779055000015701","7790550000157","01","7340.0","2026-05-27T16:51:57.888535+00:00"
"779808052007701","7798080520077","01","17900.0","2026-05-27T16:51:57.888535+00:00"
"779058014611501","7790580146115","01","1179.0","2026-05-27T16:51:57.888535+00:00"
"844529131151001","8445291311510","01","8990.0","2026-05-27T16:51:57.888535+00:00"
"779019960303001","7790199603030","01","1790.0","2026-05-27T16:51:57.888535+00:00"
"779031098546501","7790310985465","01","5500.0","2026-05-27T16:51:57.888535+00:00"
"779078715366401","7790787153664","01","3699.0","2026-05-27T16:51:57.888535+00:00"
"779007031745201","7790070317452","01","5450.0","2026-05-27T16:51:57.888535+00:00"
"779031098564901","7790310985649","01","3999.0","2026-05-27T16:51:57.888535+00:00"
"779007043296401","7790070432964","01","3690.0","2026-05-27T16:51:57.888535+00:00"
"844529112190401","8445291121904","01","12590.0","2026-05-27T16:51:57.888535+00:00"
"844529112188101","8445291121881","01","6150.0","2026-05-27T16:51:57.888535+00:00"
"779031098579301","7790310985793","01","5510.0","2026-05-27T16:51:57.888535+00:00"
"779007043174501","7790070431745","01","4390.0","2026-05-27T16:51:57.888535+00:00"
"779038701531701","7790387015317","01","5490.0","2026-05-27T16:51:57.888535+00:00"
"779031098580901","7790310985809","01","3890.0","2026-05-27T16:51:57.888535+00:00"
"779036072011501","7790360720115","01","1299.0","2026-05-27T16:51:57.888535+00:00"
"779218013193501","7792180131935","01","3990.0","2026-05-27T16:51:57.888535+00:00"
"789100024983301","7891000249833","01","15530.0","2026-05-27T16:51:57.888535+00:00"
"779400000855701","7794000008557","01","2849.0","2026-05-27T16:51:57.888535+00:00"
